№	Название	Средняя цена	delta	Ед.изм.	Описание
46	Paper	15.3	3.1	t	Бумага. Устаревший товар. Ранее использовался для сохранения информации. В настоящее время применяется для письма недоразвитыми расами некоторых отдаленных планет.
47	Plant	19.5	5.2	t	Почвенная основа. Состоит в основном из торфа и продуктов жизнедеятельности низших существ. Позволяет выращивать стационарно любые виды растений. Для выращивания редких требуется применение особых удобрений.
48	Fertilizer	12.3	2.3	t	Удобрения. Необходимые для выращивания растений вещества. Включают в себя химические элементы позволяющие ускорить рост и обеспечить питание растений.
49	Minerals	11.8	1.4	t	Минералы. Вещества, входящие в состав твердой основы всех планет и астероидов. Используются в большинстве производств.
50	Materials	9.4	3.3	t	"Строительные материалы. В основном камень и цемент, железные и стеклянные конструкции; на планетах с развитой промышленностью часто применяются материалы исскуственного синтетического типа."
51	Silver	22.8	2	t	Серебро. Драгоценный металл. Служит одним из материалов для изготовления предметов роскоши. 
52	Gold	38.6	1.8	kg	Золото. Драгоценный металл. Также применяется для изготовления предметов роскоши и встречается достаточно редко. Ценится в основном средним классом и богачами.
53	Platinum	72.6	5.0	kg	Платина. Один из самых дорогих драгоценных металлов. Присутствует в коре немногих планет, за счет чего высоко ценится.
54	Gem-Stones	19.8	2.2	g	Драгоценные камни. В основном алмазы и сапфиры, а также камни, ценящиеся на рынках планет отдаленных галактик.
55	Alien_Technology	84.7	23.4	unit	Технологии инопланетян. Древние и современные технологии инопланетян, позволившие им достичь высокого технологического уровня развития. Редко встречаются и особенно ценятся учеными.
56	Alien_Items	41.0	18.2	t	Предметы инопланетян. Предметы неопознанных свойств, обладающие мистическим смыслом и неизученным воздействием. Высоко ценятся учеными.
 * - незаконные товары				
